慢一点也没关系（内卷时代的避坑指南）,"[比利时]吕克·斯维宁 著,常江涵 许楚琪 译,酷威文化 出品",2021-10-01,四川文艺出版社,39.80
空间简史(与《时间简史》《人类简史》《未来简史》并称“四大简史”),[意]托马斯·马卡卡罗,2019-01-01,四川文艺出版社,39.80
高尔基成长三部曲（童年、在人间、我的大学）,[苏]高尔基 著，桑卓 译，酷威文化 出品,2019-08-01,四川文艺出版社,108.00
小窗幽记（与菜根谭围炉夜话并称处世三大奇书）,[明]陈继儒 著，酷威文化 出品,2022-05-01,万卷出版公司,39.80
史记精编本（中国《史记》研究会会长张大可精编白话本）,张大可 著，酷威文化 出品,2022-11-01,四川文艺出版社,45.00
生命是什么（诺贝尔物理学奖得主薛定谔作品全新译本）一本简明有趣的科普小书,[奥] 埃尔温·薛定谔，酷威文化 出品,2022-10-01,四川文艺出版社,39.80
1分钟科学(当当定制异形书签2张）超8000万点击的爆火科普漫画,[韩]李宰范  著  [韩]崔峻硕  绘，酷威文化 出品,2022-11-01,黑龙江少年儿童出版社,49.80
真希望你也喜欢自己（房琪shou部作品重磅上市！写给所有年轻人的成长通关秘籍！杨天真、大冰、鲁豫、张含韵诚挚作序推荐。）,房琪kiki,2022-09-28,北京联合出版有限公司,49.80
问，就对了！用提问掌控人生主动权,任康磊,2022-11-01,人民邮电出版社,69.80
心理医生的故事盒子(寓言故事，比任何心理分析都好记100倍！),[阿根廷]豪尔赫·布卡伊，果麦文化 出品,2022-12-01,万卷出版公司,49.80
共情的能力,[美]卡拉·麦克拉伦（Karla McLaren） 著  陈亚萍 译,2022-11-01,浙江教育出版社,58.00
不焦虑父母俱乐部（60分的父母，就是好父母。“学霸妈妈”郝景芳写给父母们的家教实用手册）,郝景芳，果麦文化 出品,2022-11-01,浙江文艺出版社,48.00
世界上最疼我的那个人去了（30年来，令万千读者潸然落泪的生命之书）,张洁,2022-10-01,浙江人民出版社,55.00
企业资本运营：投融资实战操作指南,谌豫锋,2023-01-01,电子工业出版社,69.00
人工智能革命：开启超级智能新时代,高峰,2022-09-01,电子工业出版社,89.00
一本书讲透内卷与反内卷,王磊   著   华夏智库  出品,2022-11-01,华龄出版社,68.00
写给爸爸的亲子沟通书,陈翠花   著   华夏智库   出品,2022-11-01,民主与建设出版社,58.00
柔性领导力,李小艳,2022-10-01,中华工商联合出版社,58.00
谷园讲通鉴：东汉兴衰史,谷园,2022-09-01,华文出版社,118.00
旧梦曲 （收录高口碑人气小说《旧梦1913》原版+全新中篇故事 +特别绘制顾氏夫妇彩插）（风炫出品）,沈鱼藻，风炫文化 出品,2022-05-01,江苏凤凰文艺出版社,45.00
分股控权 : 股权分配后如何保持公司控制权,"刘育良, 易倩   著     华夏智库   出品",2022-04-01,中国商业出版社,58.00
《旧梦令》（旧梦1913-1997，新锐实力作家沈鱼藻高口碑人气故事书修订典藏版！15个红尘旧梦，16P文艺彩页）（风炫出品）,沈鱼藻，风炫文化 出品,2022-06-01,江苏凤凰文艺出版社,45.00
猫咪奇怪行为图鉴（有的猫表面上可可爱爱，实际上奇奇怪怪！讲述养猫新手和猫主子的爆笑日常。火遍日本全网，好评不断的人气漫画。随书附赠喵星人的书签和明信片）,【日】AKR，风炫文化 出品,2022-09-01,四川文艺出版社,65.00
梅西传奇（一本值得收藏的梅西传记！21世纪球王的传奇人生！全彩印刷，精选超百张照片，超值附赠三张梅西海报，一张世界杯观战指南！）,"张佳玮 著,博集天卷 出品",2022-12-21,湖南文艺出版社,78.00
老板财务通,刘国东   著    华夏智库  出品,2022-09-01,中国商业出版社,68.00
企业风险防控100招,韦良军   著    华夏智库   出品,2022-08-01,中国商业出版社,58.00
教育的本质,毕海洋,2022-03-01,中国纺织出版社,48.00
完美关系,潇邦,2022-08-01,中国纺织出版社,49.80
硅谷之龙,钟东霖,2022-08-01,中国纺织出版社,58.00
IP变现——个人品牌IP打造及变现实操,尹高明  著,2022-07-01,化学工业出版社,56.00
思维觉醒,潘鑫,2022-10-01,中国纺织出版社,49.80
全链路营销——高效全营销渠道管理,周华军  著,2022-09-01,化学工业出版社,56.00
你就是品牌,任景涛，赵剑英,2022-10-01,中国纺织出版社,58.00
品牌资本,徐雅丽,2022-11-01,当代中国出版社,78.00
讲故事，做品牌,刘学哲,2022-06-01,中国纺织出版社,48.00
中国志怪笔记（一本独具东方韵味的浪漫札记。奇幻的志怪世界，也逃不过沸腾的爱恨情仇。人气博主“妖怪档案馆”全新力作，带你领略绮丽诗意的志怪文学之美。首刷赠运势书签、金句书签、妖怪条漫科普折页/风炫出品）,白龙，风炫文化 出品,2022-09-01,江苏凤凰文艺出版社,46.80
曹操（易中天长篇历史小说）,易中天，果麦文化出品,2022-09-01,山东文艺出版社,168.00
快眠大全（睡眠医生教你快速入眠、睡个好觉！）,[日]菅原洋平  著  快读慢活  出品,2022-11-01,江西科学技术出版社,65.00
改变，从家庭亲子阅读开始,窦羿 著,2022-10-03,光明日报出版社,68.00
浮世猫绘:国芳一门玩具绘集,[日] 长井裕子,2022-09-01,文化发展出版社,58.00
从红月开始（情节无删减。新增作者后记。南派三叔、马伯庸力推的惊悚小说。赠书签×1、怪物档案卡×1、PET卡×1）,黑山老鬼 著,2022-07-01,北京联合出版有限公司,49.80
领导者心腹：从向上管理到向下兼容 日本企业教父创业思考，让你有本事了不起的职场渡劫心法，想成事、能借势，十拿九稳。,[日]荒川诏四著；文通天下 出品,2022-09-01,水利水电出版社,52.00
新潮职业,小红书的博主们,2022-11-01,人民邮电出版社,69.80
三国争霸（上中下全三册）（跟着渤海小吏，读一部不一样的三国史！有趣、有洞见、有知识点，把人情世故、底层逻辑一一剖析给你看。）,渤海小吏,2023-01-01,中国大百科全书出版社,178.00
白居易传：我生本无乡，心安是归处（本是人间长安客，生有热烈，藏于俗常。白居易：进可居高位，退可享乐天，过不被定义的生活！),随园散人 著；鲤伴文化出品，有容书邦发行,2022-09-01,台海出版社,46.00
颜分析（提高美商只用三步：脸型分类+体型分析+色彩搭配！随书附赠个人色彩对照卡，更简单，更易学。）,冈田实子 著 陈韵雅 译,2022-10-01,贵州人民出版社,58.00
自适力：创业者持续进化的六项法则,吴世春,2022-11-01,人民邮电出版社,78.00
汉月初升：刘宋开国,刘钊,2022-09-26,湖南大学出版社,49.00
正在抢救中（当当签名版，知乎ZUI会写故事的医生李鸿政作品，9.5高分专栏小说，医生与患者之间的17个故事！）,"李鸿政 著,博集天卷 出品",2022-11-01,贵州科技出版社,59.80
他心似虎（知乎9.3高分专栏小说《人性凶猛》，特别新增惊喜番外！）,"胡仁义 著,博集天卷 出品",2022-10-01,九州出版社,59.80
颠覆与重构：所有生意都可以重新再做一遍,胡华成,2022-11-01,中国科学技术出版社,69.00
长安的荔枝,"马伯庸 著,博集天卷 出品",2022-10-31,湖南文艺出版社,45.00
神人之间 : 黄金时代的罗马皇帝,王卓珲,2022-10-01,文化发展出版社,79.00
肖秀荣2023考研政治【冲刺8套卷】  现货速发,夜魔 田边刚绘 克苏鲁漫画 简体中文版,2022-10-01,文化发展出版社,48.00
曹操（限量签章版，易中天长篇历史小说）,易中天，果麦文化出品,2022-09-01,山东文艺出版社,168.00
宋词群星闪耀时,周公子,2022-11-01,天津人民出版社,64.00
职业新赛道：互联网营销师成长攻略,张冠凤 著； 清泉静读 出品,2022-09-30,中国书籍出版社,56.00
凝视深渊时（知乎“盐故事”系列全新力作，183万热度高分盐选专栏！）,"徐瑞 著,博集天卷 出品",2022-10-01,九州出版社,56.00
生死疲劳（不看不知道，莫言真幽默！全新版本！印章版和普通版随机发货）,莫言；读客文化 出品,2022-01-01,浙江文艺出版社,69.90
被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,"岸見一郎, 古賀史健",2020-03-05,机械工业出版社,55.00
起初·纪年（王朔新书，埋头十五年压卷之作！中国当代小说新高度）,王朔  著 ， 新经典  出品,2022-08-01,新星出版社,108.00
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知名心理学家李松蔚强烈推荐）,罗伯特·戴博德，果麦文化 出品,2020-07-01,天津人民出版社,38.00
钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，马东、蔡康永、杨天真、王俊凯推荐书目。写给易因小事敏感，什么都往心里去的人。),渡边淳一著；李迎跃 译;,2018-01-01,青岛出版社,32.00
认知觉醒：伴随一生的学习方法论（青少年学习版）,周岭,2022-10-01,人民邮电出版社,69.80
万物的终结（剧透宇宙毁灭的5种方式。如果宇宙的结局是部悬疑剧，凶手会是谁？）,[美]凯蒂·麦克 著，秦鹏 译，未读 出品,2023-01-01,北京联合出版有限公司,58.00
生门 悬疑惊悚 无限流 附赠超值衍生烧脑剧本杀（四人本）,拟南芥,2022-11-30,北京联合出版有限公司,45.00
加拿大史（全三册）,查尔斯·G.D.罗伯茨,2022-09-01,商务印书馆,198.00
在希腊：通往现代世界,约翰·蓬特兰·马哈菲,2022-10-01,工人出版社,54.00
万物成长的故事（万物成长皆有规律，每个孩子各有花期，值得放在孩子书架上的自然科普佳作。）,稻垣荣洋 著 刘雨桐 译,2022-11-01,北京联合出版有限公司,48.00
藏在小学语文课本里的飞花令（全3册）（飞花传诗，以字接龙，立足课本，紧贴课堂，包含小学1-6年级所有诗词。玩转古诗词，学好大语文。）,林姝 编著,2022-07-01,北京联合出版有限公司,99.00
活着（余华代表作，精装，易烊千玺推荐阅读）,余华  著 ，新经典  出品,2021-10-01,北京十月文艺出版社,45.00
如果历史是一群喵11·南宋金元篇,肥志编绘，漫友文化出品,2022-10-01,广东旅游出版社,59.80
心安即是归处：季羡林百年生命智慧。央视《朗读者》多次动情朗读本书名篇。,季羡林 著，文通天下 出品,2020-08-01,古吴轩出版社,49.00
苏东坡传（林语堂纪念典藏精装版）,"林语堂 著,博集天卷 出品",2018-01-01,湖南文艺出版社,52.00
写给孩子的小小诗（亲子日历）,邹进,2022-10-01,北方文艺出版社,128.00
读书的秘密,高鸿鹏 著,2022-08-01,团结出版社,56.00
认识本能:心理学效应的实用解读,李亦梅,2022-10-01,海天出版社,49.00
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,刘慈欣,2010-11-01,重庆出版社,93.00
香蕉特别会说话（如果特别会说话，一切“焦绿”全拿下! 日本狂销150000册的沟通奇书，特别会说话的人都在用的36个沟通技巧，说话说到位，效果能翻倍！）,柿内尚文 著 王祝 译,2022-11-01,贵州人民出版社,52.00
